Project,Directory,Sample ID,Sex,Birth Date,DO Generation,Unique Sample ID
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,101,,,32,101
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,102,,,32,102
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,103,,,32,103
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,104,,,32,104
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,106,,,32,106
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,107,,,32,107
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,108,,,32,108
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,109,,,32,109
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,110,,,32,110
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,111,,,32,111
Univ_of_Penn_Thaiss,Univ_of_Penn_Thaiss_MURMUGV01_20200130,112,,,32,112
Univ_of_Penn_Thaiss,Univ_of_Penn_Thiass_MURGIGV01_20200226,90,,,32,90
Univ_of_Penn_Thaiss,Univ_of_Penn_Thiass_MURGIGV01_20200226,105,,,32,105
